Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
154;6578;646;True;1484;1485;3.74;5.14;299.44;410.82;9.40;0.52;0;1.14;0.587;0;6
155;1589;702;True;1647;1648;3.45;1.31;276.12;105.00;7.43;2.67;0;1.136;0.888;0;21
156;418;574;True;437;495;2.09;0.86;167.10;68.65;5.78;2.83;0;2.371;2.239;0;67
157;988;647;True;1810;97;9.21;2.56;736.54;204.92;12.65;0.88;0;0.931;0.535;0;68
158;441;593;False;;;36.07;2.10;2405.00;140.00;38.17;0;0;2.545;0;0;0
159;89;655;False;;;1.65;0.12;110.00;7.00;1.77;0;0;0.117;0;0;0
160;311;680;False;;;4.23;2.82;282.00;187.00;7.05;0;0;0.469;0;0;0
161;37;708;True;1329;1331;2.14;0.45;171.25;36.02;4.97;2.38;0;1.513;1.391;0;10
162;15615;577;True;1420;1446;2.49;5.19;199.59;414.87;7.73;0.05;0;0.534;0.048;0;16
163;33;636;False;;;11.03;2.78;736.00;185.00;13.82;0;0;0.921;0;0;0
164;64;583;True;1538;1531;20.55;1.13;1644.10;90.08;27.20;5.52;0;4.195;3.688;0;47
165;324;601;False;;;41.37;3.57;2758.00;238.00;44.93;0;0;2.996;0;0;0
166;2512;529;False;;;1.23;0.48;83.00;32.00;1.72;0;0;0.115;0;0;0
167;905;638;False;;;0.75;0.82;50.00;55.00;1.57;0;0;0.105;0;0;0
168;73;685;True;1163;1706;41.86;0.88;3348.87;70.72;51.04;8.3;0;6.414;4.762;0;2
169;21;630;False;;;5.53;1.72;369.00;114.00;7.25;0;0;0.483;0;0;0
170;956;589;True;38;39;2.88;4.87;230.03;389.59;8.28;0.53;0;0.622;0.322;0;5
171;76;675;True;1391;1392;2.01;6.75;160.72;540.31;9.61;0.85;0;1.169;0.651;0;61
172;74;562;True;1072;1682;32.71;0.97;2617.17;77.67;36.16;2.47;0;3.712;2.452;0;18
173;244;562;True;337766;262540;8.10;2.89;648.03;231.30;14.36;3.37;0;4.747;4.056;0;31
174;66;662;True;1025;1029;56.12;1.02;4489.97;81.98;60.83;3.68;0;7.515;3.698;0;9
175;25;652;False;;;7.62;0.67;508.00;44.00;8.28;0;0;0.552;0;0;0
176;183;609;True;606;369;1.31;1.30;105.00;103.67;6.86;4.25;0;2.729;2.522;0;82
177;4142;579;False;;;1.42;1.53;95.00;103.00;2.95;0;0;0.198;0;0;0
178;20;692;True;1554;1570;33.53;2.47;2682.22;164.00;41.03;5.03;0;6.72;4.384;0;4
179;268;694;True;2091;2094;4.60;2.65;367.61;211.82;9.89;2.65;0;1.825;1.425;0;68
180;135;575;True;1427;1428;44.99;0.69;3599.60;54.94;47.75;2.07;0;4.286;1.473;0;65
181;798;677;False;;;2.23;2.17;149.00;145.00;4.40;0;0;0.294;0;0;0
182;467;623;True;1543;1544;1.03;0.77;82.33;61.30;2.60;0.8;0;0.914;0.797;0;33
183;37;590;True;1043;220863;1.26;1.43;100.61;114.56;5.12;2.43;0;3.555;3.483;0;9
184;32;704;False;;;19.27;1.03;1285.00;69.00;20.30;0;0;1.353;0;0;0
185;33;646;True;1484;1485;19.31;5.14;1545.13;410.82;24.97;0.52;0;2.193;0.587;0;33
186;27;593;True;1518;978;25.58;1.99;2046.79;159.57;38.85;11.27;0;9.833;8.514;0;16
187;12756;529;True;97207;1689;4.96;0.75;396.62;59.70;6.68;0.98;0;1;0.786;0;23
188;25;687;False;;;6.10;1.12;407.00;75.00;7.22;0;0;0.482;0;0;0
189;953;633;True;1139;1142;4.41;3.14;352.49;251.26;10.37;2.82;0;2.234;1.774;0;18
190;387;634;True;2158;2161;12.46;3.19;996.53;255.17;17.85;2.2;0;2.612;1.57;0;17
191;230;633;False;;;3.33;1.87;222.00;124.00;5.20;0;0;0.346;0;0;0
192;27;665;True;21786;1417;41.73;1.65;3338.32;131.61;44.67;1.3;0;2.133;0.737;0;33
193;22;699;True;2182;2185;42.45;3.27;3396.23;261.35;46.57;0.85;0;2.268;0.953;0;7
194;23;631;True;733;806;37.82;3.06;3025.42;244.74;46.58;5.7;0;6.617;4.438;0;13
195;50;689;True;1013;1016;20.36;1.49;1628.74;118.90;26.27;4.42;0;5.509;4.452;0;55
196;1819;661;True;629;630;0.81;0.68;65.14;54.09;2.82;1.33;0;1.175;1.066;0;45
197;53;676;True;2112;2111;8.90;2.95;712.11;236.19;12.37;0.52;0;1.198;0.57;0;25
198;140;645;False;;;6.42;0.43;428.00;29.00;6.85;0;0;0.457;0;0;0
199;23;645;False;;;19.92;0.43;1328.00;29.00;20.35;0;0;1.357;0;0;0
200;10;641;True;744;750;12.93;2.82;1034.74;225.94;22.69;6.93;0;6.682;5.523;0;7
201;129;565;True;677;1780;0.95;11.51;75.89;920.91;19.49;7.03;0;5.632;5.358;0;39
202;465;630;False;;;1.23;1.72;83.00;114.00;2.95;0;0;0.197;0;0;0
203;41;707;True;1936;1553;8.88;2.03;710.29;162.61;11.58;0.67;0;1.064;0.703;0;32
204;183;636;False;;;8.07;2.78;538.00;185.00;10.85;0;0;0.723;0;0;0
205;107;692;True;1554;1570;5.08;2.47;406.44;164.00;12.58;5.03;0;4.759;4.384;0;4
206;30;689;True;1013;1016;40.11;1.49;3208.58;118.90;46.01;4.42;0;6.592;4.452;0;55
207;18;658;True;1241;1242;80.34;1.19;6426.99;95.41;82.41;0.88;0;5.013;0.532;0;8
208;29;642;True;2192;1973;6.97;2.59;557.73;207.51;14.69;5.12;0;4.432;4.153;0;15
209;11;642;True;1662;1972;38.94;2.20;3115.23;176.16;42.39;1.25;0;2.481;0.82;0;15
210;1752;675;True;1391;1392;4.44;6.75;355.48;540.31;12.05;0.85;0;1.263;0.651;0;61
211;92;707;True;33541;1520;40.27;2.40;3221.29;192.34;44.17;1.5;0;3.949;1.697;0;35
212;116;659;True;929;935;8.35;1.32;668.35;105.24;13.67;4;0;3.976;3.612;0;17
213;798;617;False;;;4.95;1.45;330.00;97.00;6.40;0;0;0.427;0;0;0
